Qual a função do coração?	Bombear sangue	Fazer trocas gasosas	Purificar o sangue	Sofrer	1
Qual a função dos rins?	Filtrar o sangue	Produzir pérolas	Filtrar a urina	Produzir a bile	1
Qual a quantidade máxima de decibéis para o ser humano?	120dB	100dB	150dB	220dB	2
Qual dessas não é relacionada com convergência ou divergência da luz?	Estrabismo	Miopia	Hipermetropia	Astigmatismo	1
Qual dessas não é um tipo de daltonismo?	Entropia	Deuteranopia	Protanopia	Acromático	1
Qual das alternativas contém apenas órgãos do sistema urinário?	Rim, ureter, bexiga e uretra	Rim, ureter, útero e bexiga	Rim, fígado, bexiga e uretra	Rim, ureter, bexiga e vagina	1
O filtrado glomerular é resultado de qual processo?	Filtração	Reabsorção	Secreção	Excreção	1
Em qual região do néfron as substâncias úteis são reabsorvidas?	Túbulo renal	Capsula renal	Glomérulo renal	Uretra	2
Qual o nome do procedimento utilizado em caso de insuficiência renal?	Hemodiálise	Transfusão de sangue	Cateterismo	Ponte de Safena	1
Onde ocorre a filtração e produção de urina nos rins?	Néfrons	Pirâmides renais	Colunas renais	Cálice maior	1
Como é chamada a formação de cristais nos rins por beber pouca água?	Cáculo renal	Infecção urinária	Câncer renal	Cisto renal	1
Na medula renal, qual o nome das estruturas cônicas observadas?	Pirâmides renais	Néfrons	Cálice maior	Cálice menor	1
Qual o hormônio que controla a reabsorção de águas pelos rins?	ADH	Oxitocina	Estrogênio	Testosterona	1
Qual o hormônio que o rim secreta que atua na produção das células precursoras dos glóbulos vermelhos da medula óssea?	Eritropoietina	ADH	Cortisol	Aldosterona	3
Marque as alternativas que correspondem às estruturas presentes no ouvido médio	Martelo, bigorna, estribo	Martelo, falange, trompa de Eustáquio	Martelo cóclea, estribo	martelo, cóclea, meato auditivo	2
Assinale a alternativa INCORRETA quanto ao ouvido interno	Suas estruturas internas são rígidas e fixas	Ele é preenchido por líquido	Ele possui 3 compartimentos	Sua função está relacionada ao equilíbrio e audição	2
Qual é a função do ouvido médio?	Transmissão de vibração da membrana timpânica até a porta de entrada do ouvido interno	Transmissão de vibração da membrana timpânica até a porta de entrada do ouvido médio	Absorção da vibração da membrana timpânica até a porta de entrada do ouvido interno	Absorção da vibração da membrana timpânica até a porta de entrada do ouvido médio	3
Cones e bastonetes, bem como cóclea e células ciliadas, são estruturas ligadas a um sistema. Indique a opção que, respectivamente, relaciona as estruturas aos sentidos	Visão e audição	Audição e olfação	Olfação e audição	Gustação e visão	3
Marque a alternativa que contém a sequência correta das estruturas que vibram com a passagem de uma onda sonora.	Tímpano – martelo – bigorna – estribo – janela oval	Tímpano – estribo – bigorna – martelo – janela oval	Tímpano – estribo – bigorna – martelo	Janela oval – estribo - bigorna – martelo – tímpano	2
A audição é um sentido ligado à percepção dos sons e está relacionada diretamente com o funcionamento adequado da orelha. Sobre esse sentido e o órgão responsável por ele, marque a alternativa incorreta:	O nervo auditivo está localizado na orelha média	A orelha é dividida em orelha externa, média e interna	A orelha externa capta as ondas sonoras	Na orelha média encontra-se a membrana do tímpano	3
Quais sentidos são afetados em um distúrbio no ouvido externo?	Audição, gustação, olfato e equilíbrio	Audição, gustação, olfato e visão	Equilíbrio, visão e gustação	Visão, olfato, audição e equilíbrio	2
O volume de 70 decibéis, o ruído permitido por lei durante a noite, equivale a qual tipo de ruído?	Aspirador de pó moderado	Murmúrio	Buzina	Liquidificador	3
O som pode ser classificado como quais tipos de onda, de acordo com sua natureza e forma de propagação?	Mecânica e longitudinal	Mecânica e transversal	Eletromagnética e sonora	Mecânica e sonora	1
Ao se referir a “cor dos olhos” de uma pessoa, está-se fazendo referência à coloração de qual estrutura presente no globo ocular?	Íris	Cristalino	Globo ciliar	Pupila	1
Quando o eixo ântero-posterior do olho é alongado, a imagem forma-se antes da retina. Essa anomalia do aparelho da visão é conhecida como:	Miopia	Estrabismo	Hipermetropia	Astigmatismo	2
Complete a seguinte afirmação com os termos corretos: "… O (I) , uma lente biconvexa, forma uma imagem (II) do objeto, a qual fica localizada exatamente sobre a (III)..."	(I) Cristalino; (II) real e invertida; (III) retina	(I) Globo ocular; (II) virtual e invertida;  (III) retina	(I) Nervo óptico; (II) real e direita; (III) córnea	(I) Humor vítrio; (II) virtual e invertida; (III)córnea	3
Na formação das imagens na retina da vista humana normal, o cristalino funciona como uma lente:	Convergente, formando imagens reais, invertidas e diminuídas	Convergente, formando imagens reais, diretas e diminuídas	Divergente, formando imagens reais, diretas e diminuídas	Divergente, formando imagens reais, invertidas e diminuídas	3
A característica do globo ocular que possibilita a visão cinematográfica é:	Adaptação retiniana	Estrabismo	Persistência retiniana	Hipermetropia	2
Marque a alternativa falsa a respeito das funções do olho humano:	Conduzir a luz até os fotorreceptores	Reduzir o ofuscamento	Nutrir, lubrificar e proteger o olho	Adaptar o olho a diferentes condições de luminosidade	1
Qual é a faixa média usual do comprimento de onda da luz visível?	400nm até 700nm	120nm até 300nm	590nm até 900nm	500nm até 800nm	1
Em um ambiente mal iluminado a pupila:	Aumenta permitindo entrada de maior quantidade de luz	Diminui permitindo entrada de maior quantidade de luz	Diminui permitindo entrada de menor quantidade de luz	Aumenta permitindo entrada de menor quantidade de luz	1
A íris tem qual função?	Regular quantidade de luz que entra no olho	Produzir lágrimas	Produzir um líquido chamado humor vítreo	Nutrir o olho	1
Os cones são as células capazes de distinguir as cores. Qual das alternativas abaixo não representa um dos 3 tipos de cone?	Se excita com a luz amarela	Se excita com a luz vermelha	Se excita com a luz verde	Se excita com a luz azul	1
Onde se situa o Cristalino?	Atrás da íris	Abaixo da coroide	Na frente da íris	Abaixo da esclerótica	1
Como são chamadas as três camadas do coração?	Miocárdio, pericárdio e endocárdio	Miocárdio, mesocárdio e pericárdio	Miocárdio, endocárdio e mesocárdio	Mesocárdio, endocárdio e pericárdio	1
No coração dos seres humanos há passagem de sangue em qual sequência?	Átrio esquerdo para o ventrículo esquerdo	Átrio direito para o átrio esquerdo	Ventrículo direito para o átrio direito	Ventrículo direito para o ventrículo esquerdo	2
A válvula, localizada no orifício átrio ventricular direito, que impede o refluxo de sangue no coração é:	Tricúspide	Bicúspide	Mitral	Pulmonar	2
É correto afirmar que na artéria pulmonar só há o fluxo de sangue rico em gás carbônico?	Sim, isso acontece após a passagem do sangue pelo coração	Sim, isso acontece após a passagem do sangue pelo pulmão	Não, pois só há fluxo de sangue rico em gás carbônico em veias e vênulas	Nenhuma das alternativas acima	1
Escolha a alternativa que descreve, corretamente, a sístole e a diástole cardíaca:	A sístole define a contração da musculatura cardíaca, enquanto a diástole define seu relaxamento	A sístole define o relaxamento da musculatura cardíaca, enquanto a diástole define sua contração	A sístole define a contração e o relaxamento, o tempo entre as duas etapas é chamado de diástole	A diástole define a contração e o relaxamento, o tempo entre as duas etapas é chamado de sístole	2
Qual é o nome da estrutura anatômica responsável pela produção do potencial de ação do coração?	O potencial de ação do coração é produzido pelo ó sinoatrial	O potencial de ação do coração é produzido pelo cerebelo	O potencial de ação do coração é produzido pelo córtex pré-central	O potencial de ação do coração é produzido pelo hipocampo	3
Como a diabetes relaciona os sistemas circulatório e auditivo?	A glicose obstrue o fluxo sanguíneo nos órgãos do sistema	A insulina altera o funcionamento do sistema auditivo	Os medicamentos para diabetes geram danos ao sistema auditivo	A quantidade de nutrientes que chega no sistema auditivo é maior do que o normal	3
O que é a grande circulação?	O fluxo de sangue que sai do coração em direção ao corpo e volta para o coração	O fluxo de sangue que sai do coração vai até os pulmões e volta para o coração 	O fluxo de ar que percorre todo o sistema respiratório 	O fluxo de sangue nos rins para ser filtrado	1
Qual é a principal função do sistema circulatório?	O transporte de substâncias por todo o corpo	Realizar a circulação de impulsos nervosos pelo corpo	Realizar a circulação do alimento por todo o tubo digestivo	Realizar a circulação do ar nos pulmões	1
Qual a diferença entre as artérias e as veias?	Artérias são vasos que saem do coração e veias que chegam nele	Artérias são os vasos conduzem a linfa e as veias conduzem o sangue	Artérias conduzem o que deve ser eliminado e as veias os nutrientes	Artérias conduzem gases e artérias líquidos	2
Qual é a estrutura comum do sistema respiratório e digestivo?	Faringe	Língua	Epiglote	Laringe	1
Qual é o principal músculo que auxilia no processo respiratório?	Diafragma	Esternocleidomastoideo	Peitoral	Intercostais	1
Qual a sequência correta das estruturas do sistema respiratório humano?	Fossas nasais, faringe, laringe, traqueia, brônquios, bronquíolos, pulmões	Fossas nasais, laringe, esôfago, brônquios, traqueia, pulmões	Fossas nasais, traqueia, bronquios, bronquíolos, pulmões	Fossas nasais, traqueia, faringe, laringe, brônquios, pulmões	3
Quais os gases que inspiramos e expiramos?	Oxigênio e Carbônico	Carbônico e Oxigênio	Nitrogênio e Oxigênio	Oxigênio e Nitrogênio	1
Qual a função dos pêlos existentes no interior das cavidades nasais?	Atuar como filtro de ar, retendo impurezas e germes, garantindo que o ar chegue limpo aos pulmões	Atuar como filtro, garantindo que o ar chegue limpo aos bronquiolos	Apenas umidifica e aquece	Nenhuma das alternativas	1
Na parte superior da laringe existe uma espécie de válvula que se fecha durante a deglutição. Qual o nome dessa válvula?	Epiglote	Glote	Úlvula	Carina	1
Durante a respiração, quando o diafragma se contrai e desce, o volume da caixa torácica aumenta, por conseguinte a pressão intrapulmonar:	Diminui e facilita a entrada de ar	Aumenta e facilita a entrada de ar	Diminui e dificulta a entrada de ar	Aumenta e dificulta a entrada de ar	2
A velocidade dos movimentos respiratórios aumenta quando, no sangue, a concentração:	De CO2 é alta	Da ureia aumenta	Da carboemoglobina diminui	Da oxiemoglobina é elevada	3
A troca gasosa de oxigênio e gás carbônico nos alvéolos se faz:	Por diferença de tensão desses gases entre o alvéolo e o capilar	Através de pinocitose do fluido bronquiolar pelo capilar	Através da associação desses gases com a proteína transportadora no bronquíolo	Pela ação de enzimas que aumentam o poder de penetração dos gases nos capilares	2
Quantos lobos tem em cada pulmão?	3 direito e 2 no esquerdo	4 direito e 3 no esquerdo	2 direito e 3 no esquerdo	3 no direito e 3 no esquerdo	1
Complete "O controle da frequência respiratória humana é feito pelo ____ baseado na taxa de_____ sanguíneo, que é transportado principalmente na forma de _____".	Bulbo; CO2; bicarbonato	Cérebro; O2; oxiemoglobina	Cerebelo; CO2; carboemoglobina	Cerebelo; O2; oxiemoglobina	3
Durante a inspiração, no processo de ventilação pulmonar, a musculatura do diafragma e dos músculos intercostais se encontram como?	Ambos contraídos	Ambos relaxados	Diafragma contraído e intercostais relaxados	Diafragma relaxado e intercostais contraídos	2
Considerando a anatomia que envolve o sistema circulatório, temos que o sangue circula por meio de vasos por todo o corpo e distribui o oxigênio para os demais órgãos. Recebe o nome de Hematose Pulmonar a troca gasosa que ocorre entre o sangue e o ar existente nos pulmões. Esse processo tem como finalidade a:	Manutenção do equilíbrio ácido básico no organismo	Geração de estímulos que vão relaxar e dilatar as artérias para diminuição da pressão sanguínea	Eliminação de substâncias residuais do metabolismo	Transmissão de informações que vão realizar a defesa do organismo	1
A Cardiomiopatia em geral é uma condição em que o músculo cardíaco se torna inflamado e ampliado. Isso significa que ele não consegue bombear o sangue tão rápido como deveria. Existem diversos tipos de Cardiomiopatia, considerando o que foi dito anteriormente, qual das opções abaixo não define nenhum desses tipos?	Engrossamento das paredes do órgão Este espessamento pode bloquear o fluxo de sangue, reduzindo o órgão	Endurecimento do órgão, deixando-o incapaz de bombear adequadamente o sangue	Enfraquecimento do órgão por meio da dilatação do mesmo	Perturbação dos sinais elétricos do coração causando arritmia, consequente da substituição do tecido muscular por um tecido cicatrizado	3
Um Eletrocardiograma (ECG) é a reprodução gráfica da atividade elétrica do coração durante o seu funcionamento, registrada a partir da superfície do corpo por meio do registro de correntes elétricas. Como essa atividade é gerada?	A partir da despolarização e repolarização das células cardíacas	Por meio do desequilíbrio ácido básico no organismo consequente da troca gasosa no pulmão	Por meio da contração do diafragma “forçando” o bombeamento do coração	Através da transmissão de impulsos elétricos vindos do Sistema Nervoso de maneira voluntária	2
Como a Lei de Laplace se relaciona com os sistemas circulatório e respiratório?	Se relaciona encontrando pressão necessária para impedir que esses sistemas colapsem	Relacionando o fluxo com a viscosidade e dimensões dos órgãos	Relacionando as interações de campo elétrico e campo magnético	Relaciona a viscosidade e pressão dos fluidos nesses sistemas	3